yi'ge 一个
shi'zhi'bu'jian'ting'zhi'bu'wen 视之不见听之不闻
shi'wei'zhi'zhu 视微知著
shi'tong'gong'bi 视同拱璧
shi'wei'kou'chou 视为寇雠
shi'ru'zhen'bao 视如珍宝
shi'xia'ru'shang 视下如伤
shi'tong'qin'yue 视同秦越
shi'cai'ru'ming 视财如命
shi'wei'er'xi 视为儿戏
shi'si'ru'sheng 视死如生
shi'er'bu'jian'ting'er'bu'wen 视而不见听而不闻
shi'xian'ruo'yi 视险若夷
shi'ruo'lu'ren 视若路人
shi'xian'ru'yi 视险如夷
shi'yuan'bu'gao 视远步高
shi'tong'mo'lu 视同陌路
shi'ri'ru'nian 视日如年
shi'min'ru'zi 视民如子
shi'si'ruo'gui 视死若归
shi'ren'ru'zi 视人如子
shi'si'ruo'sheng 视死若生
shi'ru'mo'lu 视如陌路
shi'ruo'er'xi 视若儿戏
shi'ru'fen'tu 视如粪土
shi'si'you'gui 视死犹归
shi'si'ru'yi 视死如饴
shi'ren'ru'shang 视人如伤
shi'tong'yi'lv 视同一律
shi'er'ren'yao 室迩人遥
shi'tu'si'bi 室徒四壁
shi'ru'xian'qing 室如县罄
shi'ru'xuan'qing 室如悬罄
shi'er'ren'xia 室迩人遐
shi'yong'qing'di 恃勇轻敌
shi'jing'wu'lai 市井无赖
shi'wu'er'jia 市无二价
shi'min'wen'xue 市民文学
shi'bu'er'jia 市不二价
shi'jing'xiao'ren 市井小人
shi'dao'zhi'jiao 市道之交
shi'fei'wen'guo 饰非文过
shi'gou'yan'ci 饰垢掩疵
shi'qing'jiao'xing 饰情矫行
shi'fei'yang'guo 饰非养过
shi'fei'yan'guo 饰非掩过
shi'guai'zhuang'qi 饰怪装奇
shi'fei'ju'jian 饰非拒谏
shi'fei'sui'guo 饰非遂过
shi'fu'fen'chen 释缚焚榇
shi'sheng'qu'yi 释生取义
shi'hui'zeng'mei 释回增美
shi'zhi'yi'xing 释知遗形
shi'zhi'jin'jie 侍执巾节
shi'ru'qi'fen 适如其分
shi'cai'shi'suo 适材适所
shi'qing'lv'yi 适情率意
shi'xin'yu'mu 适心娱目
shi'feng'qi'shi 适逢其时
shi'yi'xiang'cheng 适以相成
shi'xing'ren'qing 适性任情
shi'xing'wang'lv 适性忘虑
shi'qing'ren'yu 适情任欲
shi'dang'qi'chong 适当其冲
shi'dang'qi'shi 适当其时
shi'ju'qi'fan 适居其反
shi'shi'ying'wu 适时应务
shi'su'sui'shi 适俗随时
shi'qi'wu'ji 噬脐无及
shi'fei'kou'she 是非口舌
shi'fei'zhi'xin 是非之心
shi'fei'fen'ming 是非分明
shi'fei'dian'dao 是非颠倒
shi'fei'zi'you'gong'lun 是非自有公论
shi'fei'zhi'wei'duo'kai'kou 是非只为多开口
shi'fei'de'shi 是非得失
shi'bu'liang'cun 势不两存
shi'ru'shui'huo 势如水火
shi'ru'pi'zhu 势如劈竹
shi'qiong'li'qu 势穷力屈
shi'qiong'li'cu 势穷力蹙
shi'qing'chao'ye 势倾朝野
shi'ruo'tuo'tu 势若脱兔
shi'gu'li'bo 势孤力薄
shi'bu'ke'e 势不可遏
shi'jiang'qu'ru 逝将去汝
shi'si'bu'er 誓死不贰
shi'ri'zhi'tian 誓日指天
shi'tong'sheng'si 誓同生死
shi'tian'duan'fa 誓天断发
shi'tian'zhi'ri 誓天指日
shi'hai'meng'shan 誓海盟山
shi'si'bu'qu 誓死不屈
shi'si'bu'yu 誓死不渝
shi'shan'meng'hai 誓山盟海
shi'yi'jiao'ri 誓以皦日
shi'mu'yi'qi 拭目以俟
shi'ji'wu'jun'zi 事急无君子
shi'yu'xin'wei 事与心违
shi'guo'qing'qian 事过情迁
shi'bai'chui'cheng 事败垂成
shi'jie'gong'bei 事捷功倍
shi'zai'bi'xing 事在必行
shi'huan'ze'yuan 事缓则圆
shi'zai'xiao'qiang 事在萧墙
shi'huo'zhou'long 事火咒龙
shi'bu'guan'ji'gao'gao'gua'qi 事不关己高高挂起
shi'kuan'ze'yuan 事宽则圆
shi'wu'chang'shi 事无常师
shi'wei'lei'luan 事危累卵
shi'wang'ri'qian 事往日迁
shi'chu'wu'nai 事出无奈
shi'wu'da'xiao 事无大小
shi'sheng'zhou'ye 事生肘腋
shi'ban'gong'bai 事半功百
shi'wu'er'cheng 事无二成
shi'wu'san'bu'cheng 事无三不成
shi'bu'you'yu 事不有余
shi'kuan'ji'yuan 事宽即圆
shi'guo'jing'qian 事过景迁
shi'yu'yuan'wei 事与原违
shi'he'yan'zhi 事核言直
shi'you'bi'zhi'li'you'gu'ran 事有必至理有固然
shi'ji'qi'mei 世济其美
shi'dao'ren'qing 世道人情
shi'tai'ren'qing 世态人情
shi'su'zhi'jian 世俗之见
shi'dai'shu'xiang 世代书香
shi'yi'shi'yi 世异时移
shi'shang'wu'nan'shi'zhi'pa'you'xin'ren 世上无难事只怕有心人
shi'zhang'si'lun 世掌丝纶
shi'bie'san'ri'dang'gua'mu'xiang'dai 士别三日当刮目相待
shi'bie'san'ri'gua'mu'xiang'dai 士别三日刮目相待
shi'si'zhi'ji 士死知己
shi'bian'yu'bao 示贬于褒
shi'mo'yuan'you 始末缘由
shi'zhong'ruo'yi 始终若一
shi'mo'yuan'you 始末原由
shi'yuan'bu'ji'ci 始愿不及此
shi'zhong'bu'yi 始终不易
shi'liu'pi'gun 屎流屁滚
shi'gun'niao'liu 屎滚尿流
shi'pi'zhi'liu 屎屁直流
shi'xin'yong'xing 使心用幸
shi'xin'zuo'xing 使心作幸
shi'guai'nong'qiao 使乖弄巧
shi'jiu'ma'zuo 使酒骂座
shi'yu'shi'guo 使愚使过
shi'xin'yong'fu 使心用腹
shi'xing'guan'qi 使性掼气
shi'xin'bie'qi 使心别气
shi'xin'yong'xing 使心用倖
shi'jiu'ma'zuo 使酒骂坐
shi'xian'ren'neng 使贤任能
shi'xing'bang'qi 使性谤气
shi'xing'bang'qi 使性傍气
shi'liao'suo'ji 使料所及
shi'zui'shi'she 使嘴使舌
shi'xin'zuo'xing 使心作倖
shi'zhong'bu'er 矢忠不二
shi'zai'xian'shang 矢在弦上
shi'bu'xu'fa 矢不虚发
shi'shi'zhi'nan 矢石之难
shi'kou'jiao'lai 矢口狡赖
shi'wei'jian'yuan 识微见远
shi'ming'zhi'shen 识明智审
shi'shi'tong'bian 识时通变
shi'wei'zhi'zhu 识微知著
shi'wei'jian'ji 识微见几
shi'shi'da'bian 识时达变
shi'shi'da'wu 识时达务
shi'zi'zhi'shu 识字知书
shi'tu'lao'ma 识涂老马
shi'li'zhi'shu 识礼知书
shi'bian'cong'yi 识变从宜
shi'wen'tan'zi 识文谈字
shi'cai'zun'xian 识才尊贤
shi'bi'chu'ci 实偪处此
shi'fan'you'tu 实蕃有徒
shi'wei'min'tian 食为民天
shi'gu'ru'geng 食古如鲠
shi'bu'chong'kou 食不充口
shi'tu'wo'ji 食荼卧棘
shi'gan'qin'ning 食甘寝宁
shi'ma'liu'gan 食马留肝
shi'bu'hu'kou 食不餬口
shi'bu'zhong'wei 食不终味
shi'bu'lei'wei 食不累味
shi'bu'jian'rou 食不兼肉
shi'bi'fang'zhang 食必方丈
shi'gan'qin'an 食甘寝安
shi'zi'xun'jun 食子徇君
shi'bu'jian'wei 食不兼味
shi'bu'chong'chang 食不充肠
shi'huo'xuan'chun 食藿悬鹑
shi'bu'yan'jing'kuai'bu'yan'xi 食不厌精脍不厌细
shi'an'fang'zhang 食案方丈
shi'ji'xi'lao 食饥息劳
shi'fang'yu'qian 食方于前
shi'shao'shi'fan 食少事繁
shi'sheng'bu'hua 食生不化
shi'dan'jiang'hu 食箪浆壶
shi'bu'er'wei 食不二味
shi'bu'zhong'rou 食不重肉
shi'bu'xia'bao 食不暇饱
shi'yu'yu'qing 食鱼遇鲭
shi'wei'fang'zhang 食味方丈
shi'bu'qiu'gan 食不求甘
shi'bu'huang'wei 食不遑味
shen'wei'wu'gong 什围伍攻
shen'xi'yi'cang 什袭以藏
shen'xi'zhen'cang 什袭珍藏
shi'yi'shi'bian 时移世变
shi'zhi'yun'lai 时至运来
shi'guai'yun'zhuo 时乖运拙
shi'yi'shi'yi 时移世易
shi'qing'hai'yan 时清海宴
shi'he'sui'feng 时和岁丰
shi'yi'shi'yi 时移世异
shi'ri'he'sang 时日曷丧
shi'guai'yun'guai 时乖运乖
shi'yun'heng'tong 时运亨通
shi'lai'yun'lai 时来运来
shi'yi'shi'shu 时异势殊
shi'wu'zai'lai 时无再来
shi'he'sui'ren 时和岁稔
shi'yi'shi'yi 时移势易
shi'chu'ju'ying 时诎举赢
shi'heng'yun'tai 时亨运泰
shi'chu'ju'ying 时绌举盈
shi'shu'feng'yi 时殊风异
shi'wang'suo'gui 时望所归
shi'lai'yun'xuan 时来运旋
shi'yi'shi'bian 时易世变
shi'yi'shi'shu 时异事殊
shi'guai'yun'chuan 时乖运舛
shi'yun'bu'qi 时运不齐
shi'yin'shi'jian 时隐时见
shi'ren'tuo'yu 拾人唾余
shi'chen'dao'gu 拾陈蹈故
shi'dai'zhong'hai 拾带重还
shi'duo'wu'yi 拾掇无遗
shi'ren'tuo'ti 拾人唾涕
shi'lan'jiang'ku 石烂江枯
shi'chi'bu'duo 石赤不夺
shi'huo'feng'deng 石火风灯
shi'xin'mu'chang 石心木肠
shi'jian'jin'kui 石缄金匮
shi'huo'guang'yin 石火光阴
shi'shi'jin'kui 石室金匮
shi'cheng'tang'chi 石城汤池
shi'you'feng 石尤风
shi'huo'feng'zhu 石火风烛
shi'lan'hai'ku 石烂海枯
shi'shi'jin'kui 石室金鐀
shi'le'hai'ku 石泐海枯
shi'fu'rou'chui 十夫楺椎
shi'bu'xiang'che 十步香车
shi'qin'jiu'juan 十亲九眷
shi'na'jiu'wen 十拏九稳
shi'mi'jiu'kang 十米九糠
shi'zhan'shi'sheng 十战十胜
shi'si'jiu'huo 十死九活
shi'fa'shi'zhong 十发十中
shi'zi'lu'tou 十字路头
shi'zhuo'jiu'zhe 十捉九着
shi'shi'jiu'kui 十室九匮
shi'kao'jiu'bang 十拷九棒
shi'nian'shu'mu'bai'nian'shu'ren 十年树木百年树人
shi'shou'zheng'zhi 十手争指
shi'er'jin'chai 十二金钗
shi'shi'rong'xian 十室容贤
shi'jiang'wu'kui 十浆五馈
shi'li'yang'chang 十里洋场
shi'e'wu'ni 十恶五逆
shi'bian'wu'hua 十变五化
shi'cheng'jiu'wen 十成九稳
shi'er'wan'fen 十二万分
shi'shi'wu'wu 十十五五
shi'yu'wu'feng 十雨五风
shi'wan'huo'su 十万火速
shi'ri'yi'shui'wu'ri'yi'shi 十日一水五日一石
shi'nian'du'shu 十年读书
shi'ba'ban'bing'qi 十八般兵器
shi'kou'xiang'chuan 十口相传
shi'ren'jiu'mu 十人九慕
shi'ri'bing'chu 十日并出
shi'shi'dan'chuan 十世单传
shi'han'yi'bao 十寒一暴
shi'si'bu'wen 十死不问
shi'guang'wu'se 十光五色
shi'mian'jiu'zuo 十眠九坐
shi'zhuan'jiu'kong 十转九空
shi'bu'dang'yi 十不当一
shi'mu'suo'shi'shi'shou'suo'zhi 十目所视十手所指
shi'nian'sheng'ju'shi'nian'jiao'xun 十年生聚十年教训
shi'zi'jie'kou 十字街口
shi'fu'rao'chui 十夫桡椎
shi'lu'su'can 尸禄素餐
shi'jiu'zhi'ping 尸鸠之平
shi'lu'su'can 尸禄素飡
shi'shan'xue'hai 尸山血海
shi'li'ren'jia 诗礼人家
shi'li'chuan'jia 诗礼传家
shi'peng'jiu'lv 诗朋酒侣
shi'peng'jiu'you 诗朋酒友
shi'yi'yan'zhi 诗以言志
shi'jiu'feng'liu 诗酒风流
shi'yun'zi'yue 诗云子曰
shi'ting'zhi'xun 诗庭之训
shi'jia'san'mei 诗家三昧
shi'jiu'peng'chai 诗酒朋侪
shi'shi'er'xing 施施而行
shi'hao'fa'ling 施号发令
shi'ming'fa'hao 施命发号
shi'jin'jie'li 施衿结褵
shi'er'bu'fei 施而不费
shi'fei'tuo'lv 施绯拖绿
shi'ren'bu'de 施仁布德
shi'xiang'bo'tu'jie'yong'quan'li 狮象搏兔皆用全力
shi'zi'bo'tu'yi'yong'quan'li 狮子搏兔亦用全力
shi'ma'sai'weng 失马塞翁
shi'zhi'hao'li'cha'yi'qian'li 失之毫厘差以千里
shi'hun'dang'po 失魂荡魄
shi'jing'luo'cai 失精落彩
shi'hun'sang'dan 失魂丧胆
shi'jing'dao'guai 失惊倒怪
shi'shi'luo'shi 失时落势
shi'zhang'shi'zhi 失张失致
shi'zhu'jiao'bi 失诸交臂
shi'zhi'dong'yu'shou'zhi'sang'yu 失之东隅收之桑榆
shi'hun'sang'po 失魂丧魄
shi'zhi'qian'li'cha'ruo'hao'li 失之千里差若毫厘
shi'zhang'mao'shi 失张冒势
shi'zhang'shi'zhi 失张失志
shi'zhi'hao'li'miu'yi'qian'li 失之毫厘谬以千里
shi'zhi'hao'li'cha'zhi'qian'li 失之毫厘差之千里
shi'yan'dao'zun 师严道尊
shi'lao'bing'po 师老兵破
shi'xin'zi'shi 师心自是
sheng'shen'wen'wu 圣神文武
sheng'zhu'chui'yi 圣主垂衣
sheng'di'ming'wang 圣帝明王
sheng'jun'xian'xiang 圣君贤相
sheng'shan'can'shui 剩山残水
sheng'cai'can'geng 剩菜残羹
sheng'fu'can'gao 剩馥残膏
sheng'ming'zhi'xia'qi'shi'nan'fu 盛名之下其实难副
sheng'ming'zhi'xia'qi'shi'nan'fu 盛名之下其实难符
sheng'bi'lv'shuai 盛必虑衰
sheng'shui'bu'lou 盛水不漏
sheng'yan'nan'zai 盛筵难再
sheng'shuai'xing'fei 盛衰兴废
sheng'yan'bi'san 盛筵必散
sheng'fan'cong'jian 省烦从简
sheng'mo'zhi'yan 绳墨之言
sheng'jue'zu'wu 绳厥祖武
sheng'shu'weng'you 绳枢瓮牖
sheng'qian'jiu'miu 绳愆纠缪
sheng'guan'fa'cai 升官发财
sheng'si'guan'tou 生死关头
sheng'si'bu'yu 生死不渝
sheng'si'yu'duo 生死予夺
sheng'si'zhi'jiao 生死之交
sheng'min'tu'tan 生民涂炭
sheng'si'wei'bu 生死未卜
sheng'mi'zuo'cheng'shu'fan 生米做成熟饭
sheng'bu'yu'shi 生不遇时
sheng'ling'tu'di 生灵涂地
sheng'tuo'si'zhuai 生拖死拽
sheng'rong'si'shuai 生荣死衰
sheng'zhen'wu'wa 声振屋瓦
sheng'qiu'qi'ying 声求气应
sheng'qi'xiang'qiu 声气相求
sheng'xi'wei'dan 声希味淡
shen'shi'jing'zhong 慎始敬终
shen'zhong'yu'shi 慎终于始
shen'zhong'qi'shi 慎重其事
shen'xiao'jin'wei 慎小谨微
shen'zhong'cheng'shi 慎终承始
shen'xiao'shi'wei 慎小事微
shen'qu'mian'shi 审曲面势
shen'ji'du'ren 审己度人
shen'ji'du'shi 审几度势
shen'qu'mian'shi 审曲面埶
shen'shi'ren'bi 沈诗任笔
shen'miao'mo'ce 神妙莫测
shen'cai'huan'fa 神采焕发
shen'cai'fei'yang 神采飞扬
shen'zui'xin'wang 神醉心往
shen'yun'gui'shu 神运鬼输
shen'qing'gu'xiu 神清骨秀
shen'gong'gui'li 神工鬼力
shen'jian'ju'du 神奸巨蠹
shen'bu'shou'she 神不收舍
shen'rong'qi'tai 神融气泰
shen'chi'dian'ji 神抶电击
shen'yi'qi'yu 神怿气愉
shen'hao'gui'qi 神号鬼泣
shen'liu'qi'chang 神流气鬯
shen'qing'zi'ruo 神情自若
shen'long'shi'shi 神龙失埶
shen'xian'qi'jing 神闲气静
shen'yao'mu'duo 神摇目夺
shen'dao'zhi'bi 神到之笔
shen'long'ma'zhuang 神龙马壮
shen'nu'ren'yuan 神怒人怨
shen'chou'gui'ku 神愁鬼哭
shen'jian'ju'hua 神奸巨猾
shen'gui'nan'ce 神鬼难测
shen'gui'bu'ce 神鬼不测
shen'se'zhang'huang 神色张皇
shen'mie'xing'xiao 神灭形消
shen'xiao'jiang'que 神霄绛阙
shen'mei'gui'dao 神眉鬼道
shen'qing'qi'mao 神清气茂
shen'shi'po'duo 神逝魄夺
shen'wang'shen'lai 神往神来
shen'tou'gui'lian 神头鬼脸
shen'wu'gua'guan 神武挂冠
shen'se'cang'huang 神色仓皇
shen'ling'yi'zao 神领意造
shen'hui'xin'rong 神会心融
shen'hun'fei'yue 神魂飞越
shen'chi'li'kun 神驰力困
shen'qing'huang'hu 神情恍惚
shen'lai'qi'wang 神来气旺
shen'an'qi'ji 神安气集
shen'fei'se'wu 神飞色舞
shen'bing'tian'jiang 神兵天将
shen'gong'sheng'hua 神功圣化
shen'gong'tian'qiao 神工天巧
shen'hun'dang'yang 神魂荡飏
shen'se'bu'jing 神色不惊
shen'shu'miao'ji 神术妙计
shen'yi'xin'kuang 神怡心旷
shen'mo'miao'suan 神谟庙算
shen'zhan'gu'han 神湛骨寒
shen'zhou'chi'xian 神州赤县
shen'hun'piao'dang 神魂飘荡
shen'xian'zhong'ren 神仙中人
shen'qu'gui'ao 神区鬼奥
shen'hun'yao'dang 神魂摇荡
shen'cha'gui'qian 神差鬼遣
shen'cai'ying'ba 神采英拔
shen'hua'gui'jiao 神哗鬼叫
shen'mei'gui'yan 神眉鬼眼
shen'mo'yuan'suan 神谟远算
shen'qian'gui'zhi 神牵鬼制
shen'qing'qi'shuang 神清气爽
shen'ji'gui'xie 神机鬼械
shen'zhi'zhi'bi 神至之笔
shen'song'xin'ti 神竦心惕
shen'qing'qi'lang 神清气朗
shen'xian'qi'ding 神闲气定
shen'sang'dan'luo 神丧胆落
shen'yu'qi'cui 神郁气悴
shen'shu'gui'yun 神输鬼运
shen'mou'mo'dao 神谋魔道
shen'jian'qi'ding 神閒气定
shen'hao'gui'ku 神嚎鬼哭
shen'gong'yi'jiang 神工意匠
shen'fei'qi'yang 神飞气扬
shen'duan'qi'fu 神短气浮
shen'cai'yi'ran 神采奕然
shen'mi'yi'duo 神迷意夺
shen'er'ming'zhi'cun'hu'qi'ren 神而明之存乎其人
shen'bu'zhi'gui'bu'xiao 神不知鬼不晓
shen'cang'gui'fu 神藏鬼伏
shen'chao'xing'yue 神超形越
shen'bu'fu'ti 神不附体
shen'chu'gui'ru 神出鬼入
shen'qing'bu'shu 神情不属
shen'long'jian'shou 神龙见首
shen'se'bu'dong 神色不动
shen'shu'gui'cang 神枢鬼藏
shen'yi'zi'ruo 神意自若
shen'ling'yi'de 神领意得
shen'shan'qiong'lin 深山穷林
shen'gou'gu'lei 深沟固垒
shen'wen'jun'fa 深文峻法
shen'ru'xian'chu 深入显出
shen'you'yuan'ji 深猷远计
shen'zhong'yin'hou 深中隐厚
shen'ci'shu'sui 深刺腧髓
shen'shan'you'gu 深山幽谷
shen'ao'mo'ce 深奥莫测
shen'wen'qiao'di 深文巧诋
shen'wen'qu'zhe 深文曲折
shen'qie'zhu'bai 深切著白
shen'qie'zhu'ming 深切著明
shen'qie'zhe'bai 深切着白
shen'jiong'gu'yao 深扃固钥
shen'wen'fu'hui 深文傅会
shen'ru'gao'huang 深入膏肓
shen'qie'zhe'ming 深切着明
shen'gou'bi'lei 深沟壁垒
shen'gen'gu'ben 深根固本
shen'shan'qiong'gu 深山穷谷
shen'wei'zhong'lv 深惟重虑
shen'wen'da'yi 深文大义
shen'ji'yuan'lv 深计远虑
shen'wen'fu'hui 深文附会
shen'e'tong'ji 深恶痛嫉
shen'jian'ju'hua 深奸巨猾
shen'bi'gu'ju 深闭固距
shen'zhong'du'xing 深中笃行
shen'ren'hou'ze 深仁厚泽
shen'chou'su'yuan 深仇宿怨
shen'zhi'zhuo'jian 深知灼见
shen'si'ku'suo 深思苦索
shen'qing'di'li 深情底理
shen'gu'wei'ling 深谷为陵
shen'shan'lao'lin 深山老林
shen'shan'chang'gu 深山长谷
shen'gen'gu'di 深根固蒂
shen'shan'mi'lin 深山密林
shen'jian'yuan'lv 深见远虑
shen'bi'gu'lei 深壁固垒
shen'ming'fei'fu 深铭肺腑
shen'wen'zhou'nei 深文周内
shen'gen'pan'jie 深根蟠结
shen'chou'da'hen 深雠大恨
shen'ru'gu'sui 深入骨髓
shen'tu'yuan'suan 深图远算
shen'shan'ye'ao 深山野墺
shen'gen'ning'ji 深根宁极
shen'mou'yuan'lve 深谋远略
shen'bai'ming'hui 身败名隳
shen'ming'ju'tai 身名俱泰
shen'dang'qi'jing 身当其境
shen'cao'jing'jiu 身操井臼
shen'dan'li'bo 身单力薄
shen'zuo'shen'dang 身做身当
shen'xian'ming'yang 身显名扬
shen'wu'ze'xing 身无择行
shen'wu'li'zhui 身无立锥
shen'shou'yi'di 身首异地
shen'wei'yan'qing 身微言轻
shen'bu'yu'shi 身不遇时
shen'fei'mu'shi 身非木石
shen'ji'hu'wen 身寄虎吻
shen'yao'xin'er 身遥心迩
shen'fei'ming'lie 身废名裂
shen'wu'wan'fu 身无完肤
shen'zai'jiang'hu'xin'cun'wei'que 身在江湖心存魏阙
shen'ming'ju'mie 身名俱灭
shen'xian'shi'zhong 身先士众
shen'ming'liang'tai 身名两泰
shen'dang'shi'shi 身当矢石
shen'zai'jiang'hu'xin'xuan'wei'que 身在江湖心悬魏阙
shen'wei'li'bo 身微力薄
shen'wu'chang'wu 身无长物
shen'xian'chao'lu 身先朝露
shen'yuan'xin'jin 身远心近
shen'ming'ju'bai 身名俱败
shen'zai'lin'quan'xin'huai'wei'que 身在林泉心怀魏阙
shen'tui'gong'cheng 身退功成
shen'wu'cun'tie 身无寸铁
shen'tou'tan'nao 伸头探脑
shen'yuan'li'wang 伸冤理枉
shen'huo'wu'liang 申祸无良
she'xin'ji'lv 设心积虑
she'xin'chu'lv 设心处虑
she'hai'deng'shan 涉海登山
she'xiang'zhi'ti 射像止啼
she'li'gu'ming 射利沽名
she'ying'han'sha 射影含沙
she'yu'zhi'tian 射鱼指天
she'ren'xian'she'ma 射人先射马
she'po'gou'hun 摄魄钩魂
she'wei'shan'shi 摄威擅势
she'guo'you'zui 赦过宥罪
she'jin'wu'yuan 舍近务远
she'shen'wei'guo 舍身为国
she'ce'zhui'yang 舍策追羊
she'jin'ji'yuan 舍近即远
she'de'yi'shen'gua'gan'ba'huang'di'la'xia'ma 舍得一身剐敢把皇帝拉下马
she'ji'jiu'ren 舍己就人
she'qiao'bu'xia 舌桥不下
she'jian'kou'kuai 舌尖口快
she'ying'bei'gong 蛇影杯弓
she'xie'xin'chang 蛇蝎心肠
she'shi'jing'tun 蛇食鲸吞
she'tou'shu'yan 蛇头鼠眼
she'xin'fo'kou 蛇心佛口
she'hua'wei'long'bu'bian'qi'wen 蛇化为龙不变其文
shao'an'wu'zao 少安无躁
shao'qi'wu'li 少气无力
shao'tiao'shi'jiao 少条失教
shao'zhuang'bu'nu'li'lao'da'tu'shang'bei 少壮不努力老大徒伤悲
shao'chi'jian'yong 少吃俭用
shao'nian'lao'cheng 少年老诚
shao'yan'zhi'chi 韶颜稚齿
shao'hua'ru'shi 韶华如驶
shao'shui'yi'luan 勺水一脔
shao'qin'zhu'he 烧琴煮鹤
shao'mei'zhi'ji 烧眉之急
shao'xi'guan'huo 烧犀观火
shao'guan'da'jie 捎关打节
shang'xu'zhong'kui 尚虚中馈
shang'man'xia'bao 上嫚下暴
shang'wu'pian'wa'xia'wu'zhuo'zhui 上无片瓦下无卓锥
shang'dang'xue'guai 上当学乖
shang'ling'xia'ti 上陵下替
shang'wu'pian'wa'xia'wu'cha'zhen'zhi'di 上无片瓦下无插针之地
shang'bu'zhe'tian'xia'bu'zhe'di 上不着天下不着地
shang'ti'xia'ling 上替下陵
shang'gan'duo'ti 上竿掇梯
shang'bing'fa'mou 上兵伐谋
shang'tian'wu'lu'ru'di'wu'men 上天无路入地无门
shang'wu'pian'wa'xia'wu'li'zhui'zhi'di 上无片瓦下无立锥之地
shang'nan'luo'bei 上南落北
shang'qin'xia'shun 上勤下顺
shang'zheng'xia'bao 上蒸下报
shang'xia'tong'yu 上下同欲
shang'yi'xia'lou 上溢下漏
shang'xia'tong'xin 上下同心
shang'man'xia'bao 上慢下暴
shang'he'xia'mu 上和下睦
shang'gen'da'qi 上根大器
shang'fang'bu'zu'xia'bi'you'yu 上方不足下比有余
shang'pian'shang'lun 上篇上论
shang'shan'fa'fou 赏善罚否
shang'bu'yu'ri 赏不逾日
shang'lao'fa'zui 赏劳罚罪
shang'yi'quan'zhong 赏一劝众
shang'fa'bu'ming 赏罚不明
shang'xin'fa'bi 赏信罚必
shang'xian'fa'bao 赏贤罚暴
shang'gong'fa'zui 赏功罚罪
shang'fa'yan'ming 赏罚严明
shang'li'zhu'bi 赏立诛必
shang'tong'fa'yi 赏同罚异
shang'fa'xin'ming 赏罚信明
shang'gao'fa'xia 赏高罚下
shang'bu'yu'shi 赏不逾时
shang'bu'dang'gong 赏不当功
shang'xin'fa'ming 赏信罚明
shang'yi'xia'ding 商彝夏鼎
shang'yi'zhou'ding 商彝周鼎
shang'xin'ji'shou 伤心疾首
shang'feng'bai'hua 伤风败化
shang'hua'bai'su 伤化败俗
shang'xin'hao'mu 伤心蒿目
shang'jiao'bai'su 伤教败俗
shang'yan'zha'yu 伤言扎语
shan'jia'zhi'bing 缮甲治兵
shan'xi'wen'zhen 扇席温枕
shan'zhen'wen'xi 扇枕温席
shan'zhen'wen'qin 扇枕温衾
shan'huo'zhi'fei 扇火止沸
shan'wen'neng'wu 善文能武
shan'mei'shan'yan 善眉善眼
shan'you'shan'bao'e'you'e'bao 善有善报恶有恶报
shan'ma'shu'ren 善马熟人
shan'cai'nan'she 善财难舍
shan'qi'zhe'duo 善骑者堕
shan'shi'ling'zhong 善始令终
shan'men'nan'kai 善门难开
shan'he'zhuan'qiu 擅壑专丘
shan'hua'jiu'su 删华就素
shan'fu'shui'huan 山肤水豢
shan'chang'shui'kuo 山长水阔
shan'zou'hai'cuo 山陬海澨
shan'qiong'shui'duan 山穷水断
shan'beng'di'xian 山崩地陷
shan'ku'shi'si 山枯石死
shan'gong'dao'zai 山公倒载
shan'chuan'mi'ju 山川米聚
shan'rong'hai'na 山容海纳
shan'lin'yin'yi 山林隐逸
shan'bao'hai'rong 山包海容
shan'beng'chuan'jie 山崩川竭
shan'gao'shui'xian 山高水险
shan'zhong'wu'hao'han'hu'sun'cheng'ba'wang 山中无好汉猢猻称霸王
shan'tong'shi'lan 山童石烂
shan'mei'shui'yan 山眉水眼
shan'fu'zheng'zhuang 山复整妆
shan'ji'bo'wei 山积波委
shan'jie'zao'rui 山节藻棁
shan'kui'yi'kui 山亏一篑
shan'yin'dao'shang'ying'jie'bu'xia 山阴道上应接不暇
shan'beng'hai'xiao 山崩海啸
shan'yao'lu'yuan 山遥路远
shan'xing'hai'su 山行海宿
shan'xiao'ye'wei 山殽野湋
shan'he'yi'gai'ben'xing'nan'yi 山河易改本性难移
shan'ju'shui'ya 山砠水厓
shan'qiong'shui'jue 山穷水绝
shan'shang'wu'lao'hu'hou'zi'cheng'da'wang 山上无老虎猴子称大王
shan'yao'hai'cuo 山肴海错
shan'yin'ye'xue 山阴夜雪
shan'yin'cheng'xing 山阴乘兴
shan'qi'gu'yin 山栖谷饮
shan'beng'di'che 山崩地坼
shan'han'shui'leng 山寒水冷
shan'beng'di'ta 山崩地塌
shan'zhi'chuan'xing 山止川行
shan'yin'ze'chang 山吟泽唱
shan'yao'shui'yuan 山遥水远
shan'beng'shui'jie 山崩水竭
shan'he'biao'li 山河表里
shan'shi'yuan'ting 山峙渊渟
shan'shan'lai'chi 珊珊来迟
sha'ou'xiang'ji 沙鸥翔集
sha'ma'hui'che 杀马毁车
sha'yi'suo'shi 杀衣缩食
sha'yi'li'bai 杀一利百
sha'ren'ru'cao 杀人如草
sha'ren'mie'kou 杀人灭口
sha'ji'wei'shu 杀鸡为黍
